id,vestibular,ano,questao_numero,url_github
fuvest-2025-69,FUVEST,2025,69,https://github.com/beatrizmilz/BancoDeQuestoes/blob/main/data-raw/questoes/fuvest/2025/69.json
fuvest-2025-7,FUVEST,2025,7,https://github.com/beatrizmilz/BancoDeQuestoes/blob/main/data-raw/questoes/fuvest/2025/7.json
fuvest-2025-70,FUVEST,2025,70,https://github.com/beatrizmilz/BancoDeQuestoes/blob/main/data-raw/questoes/fuvest/2025/70.json
fuvest-2025-71,FUVEST,2025,71,https://github.com/beatrizmilz/BancoDeQuestoes/blob/main/data-raw/questoes/fuvest/2025/71.json
fuvest-2025-72,FUVEST,2025,72,https://github.com/beatrizmilz/BancoDeQuestoes/blob/main/data-raw/questoes/fuvest/2025/72.json
fuvest-2025-73,FUVEST,2025,73,https://github.com/beatrizmilz/BancoDeQuestoes/blob/main/data-raw/questoes/fuvest/2025/73.json
fuvest-2025-74,FUVEST,2025,74,https://github.com/beatrizmilz/BancoDeQuestoes/blob/main/data-raw/questoes/fuvest/2025/74.json
fuvest-2025-75,FUVEST,2025,75,https://github.com/beatrizmilz/BancoDeQuestoes/blob/main/data-raw/questoes/fuvest/2025/75.json
fuvest-2025-76,FUVEST,2025,76,https://github.com/beatrizmilz/BancoDeQuestoes/blob/main/data-raw/questoes/fuvest/2025/76.json
fuvest-2025-77,FUVEST,2025,77,https://github.com/beatrizmilz/BancoDeQuestoes/blob/main/data-raw/questoes/fuvest/2025/77.json
fuvest-2025-78,FUVEST,2025,78,https://github.com/beatrizmilz/BancoDeQuestoes/blob/main/data-raw/questoes/fuvest/2025/78.json
fuvest-2025-79,FUVEST,2025,79,https://github.com/beatrizmilz/BancoDeQuestoes/blob/main/data-raw/questoes/fuvest/2025/79.json
fuvest-2025-8,FUVEST,2025,8,https://github.com/beatrizmilz/BancoDeQuestoes/blob/main/data-raw/questoes/fuvest/2025/8.json
fuvest-2025-80,FUVEST,2025,80,https://github.com/beatrizmilz/BancoDeQuestoes/blob/main/data-raw/questoes/fuvest/2025/80.json
